fuel_type,accidents,luxury_brand,engine_size,automatic_transmission,car_age,mileage_status,external_color,internal_color,metallic_color,price
Other,Yes,No,3.7,Yes,11,low,Black,Black,No,10300
Gasoline,Yes,No,3.8,Yes,3,high,Other,Gray,No,38005
Gasoline,No,Yes,3.5,Yes,2,high,Blue,Black,No,54598
Hybrid,No,Yes,3.5,Yes,9,avg,Black,Black,No,15500
Gasoline,No,Yes,2,Yes,3,verylow,White,Black,Yes,34999
Gasoline,No,Yes,2.4,No,8,above_expected,Silver,Black,No,14798
Gasoline,No,Yes,2,Yes,7,high,Blue,Black,No,31000
Gasoline,No,Yes,4.4,Yes,23,high,Other,Other_Colored,No,7300
Gasoline,No,Yes,3.5,Yes,3,avg,Black,Black,No,41927
Electric,No,Yes,,Yes,4,avg,Black,Black,No,69950
Gasoline,No,Yes,,Yes,3,avg,White,Black,No,73897
Gasoline,No,Yes,5.2,Yes,5,low,Silver,Black,No,184606
Gasoline,No,No,3,Yes,3,low,Other,Black,No,53500
Gasoline,No,No,3,Yes,2,avg,Black,Beige,No,62000
Gasoline,No,Yes,2,Yes,4,low,Silver,Black,No,47998
Gasoline,No,Yes,5,Yes,11,avg,White,Black,No,29990
Gasoline,No,Yes,2,Yes,3,verylow,Gray,Other_Colored,No,250000
Gasoline,No,No,3.6,Yes,11,low,Black,Gray,No,16800
Gasoline,No,No,3.5,No,21,low,Other,Other_Colored,No,11000
Gasoline,No,Yes,5,Yes,6,low,Other,Black,No,68750
Gasoline,No,No,3.5,Yes,1,low,Other,Beige,No,60000
Other,No,No,2.2,Yes,24,low,Blue,Black,No,4500
Gasoline,No,Yes,3,Yes,4,low,White,Beige,No,38598
Gasoline,No,No,3.5,Yes,1,verylow,Silver,Black,Yes,58504
Gasoline,No,No,5.3,Yes,3,above_expected,Blue,Black,No,61000
Gasoline,No,No,2,Yes,2,low,Black,Black,No,32300
Gasoline,No,No,1.8,Yes,8,high,Blue,Black,No,13998
Gasoline,No,Yes,2,Yes,3,low,Gray,Black,No,59995
Gasoline,No,Yes,4.4,Yes,9,avg,Gray,Black,No,25700
Other,No,Yes,2,Yes,7,high,Black,Black,Yes,21375
Gasoline,No,Yes,3,Yes,6,low,Silver,Black,No,48000
Gasoline,Yes,No,5.7,Yes,18,above_expected,Silver,Gray,No,10900
Hybrid,No,Yes,,Yes,4,avg,Black,Black,No,24998
Gasoline,No,No,3.5,Yes,13,high,Black,Black,No,5999
Gasoline,No,Yes,5.7,Yes,8,above_expected,Black,Beige,No,46900
Gasoline,No,No,2.4,Yes,7,above_expected,Red,Black,No,15900
Gasoline,No,Yes,3,Yes,6,avg,Gray,Black,No,33598
Gasoline,No,Yes,2,Yes,12,high,Silver,Black,No,8999
Gasoline,No,No,2.7,Yes,17,verylow,Other,Beige,No,8200
Gasoline,Yes,Yes,2,Yes,10,avg,White,Beige,No,20000
Other,No,Yes,6,Yes,13,verylow,Black,Black,No,79950
Gasoline,No,No,3.5,Yes,1,verylow,Silver,Gray,Yes,45498
Diesel,Yes,No,3,Yes,17,high,White,Gray,No,14000
Gasoline,No,Yes,4.4,Yes,5,verylow,Blue,Black,No,75798
Electric,No,No,,Yes,2,verylow,Red,Beige,No,119999
